Name,Size Using Noval Approach,Size Using JPEG-LS
1080.jpg,19917,19447
1081.jpg,19177,18754
1082.jpg,15419,13758
1083.jpg,12012,9132
1084.jpg,15602,13751
1085.jpg,20660,21990
1086.jpg,14864,11425
1087.jpg,17003,15551
1088.jpg,18779,18437
1089.jpg,16794,14924
1090.jpg,19099,17979
1091.jpg,20430,20433
1092.jpg,17224,15212
1093.jpg,15712,14485
1094.jpg,17303,15113
1095.jpg,15110,12923
1096.jpg,13172,9312
1097.jpg,17550,15968
1098.jpg,20052,21079
1099.jpg,18340,17641
1100.jpg,14240,11487
1101.jpg,13491,10503
1102.jpg,19290,16726
1103.jpg,18489,17933
1104.jpg,15255,11922
1105.jpg,19942,20123
1106.jpg,17734,16126
1107.jpg,14638,12322
1108.jpg,18971,17017
1109.jpg,14209,13026
1110.jpg,17876,15892
1111.jpg,16593,14749
1112.jpg,16334,15019
1113.jpg,18562,18063
1114.jpg,19002,17446
1115.jpg,15714,13104
1116.jpg,18283,16761
1117.jpg,18817,18353
1118.jpg,18892,18719
1119.jpg,17370,16424
1120.jpg,17058,15196
1121.jpg,15124,13957
1122.jpg,19222,19465
1123.jpg,16765,14886
1124.jpg,19094,18934
1125.jpg,16281,15042
1126.jpg,16238,14300
1127.jpg,12391,9350
1128.jpg,17278,15282
1129.jpg,19068,17909
1130.jpg,19544,17866
1131.jpg,15195,12466
1132.jpg,13963,12078
1133.jpg,16572,14401
1134.jpg,16836,15030
1135.jpg,13235,9525
1136.jpg,19447,18345
1137.jpg,16716,13913
1138.jpg,18512,17231
1139.jpg,14186,10356
1140.jpg,14974,11275
1141.jpg,15438,12988
1142.jpg,19313,18609
